Model:	LI-7820
SN:	TG20-01037
Software Version:	2.4.27-rc1
Timestamp:	2025-08-22 09:38:16
Timezone:	US/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1755869896	940004110	0	256	""	2025-08-22	09:38:16	nan	nan	101.375	20.9161	101.327	30.1063	0	0	20.9044	-16000	0	24.2562	201
DATA	1755869896	940004110	0	256	""	2025-08-22	09:38:16	nan	nan	101.372	20.9166	101.325	38.4577	0	0	20.9044	-16000	0	24.2578	229
DATA	1755869896	940004110	0	256	""	2025-08-22	09:38:16	nan	nan	101.371	20.9166	101.323	44.6406	0	0	20.9044	-16000	0	24.2589	218
DATA	1755869897	939963102	0	256	""	2025-08-22	09:38:17	nan	nan	100.795	20.9158	100.751	24.3409	0	0	20.9044	0	0	24.2935	  6
DATA	1755869898	939924001	0	256	""	2025-08-22	09:38:18	nan	nan	101.029	20.9158	100.982	24.3419	0	0	20.9044	-6400	0	24.2833	197
DATA	1755869899	939882993	0	256	""	2025-08-22	09:38:19	nan	nan	101.369	20.9166	101.323	47.4185	0	0	20.9044	-16000	0	24.2629	 16
DATA	1755869899	939882993	0	256	""	2025-08-22	09:38:19	nan	nan	101.369	20.9166	101.323	47.6694	0	0	20.9051	-16000	0	24.2653	 18
DATA	1755869899	939882993	0	256	""	2025-08-22	09:38:19	nan	nan	101.37	20.9166	101.323	47.7542	0	0	20.9051	-16000	0	24.2659	217
DATA	1755869902	939774036	0	256	""	2025-08-22	09:38:22	nan	nan	101.369	20.9166	101.323	47.7885	0	0	20.9051	-16000	0	24.2665	247
DATA	1755869902	939774036	0	256	""	2025-08-22	09:38:22	nan	nan	101.37	20.9166	101.322	47.8036	0	0	20.9051	-16000	0	24.2664	178
