Model:	LI-7820
SN:	TG20-01037
Software Version:	2.4.27-rc1
Timestamp:	2025-07-23 09:47:22
Timezone:	US/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1753278442	608300924	0	256	""	2025-07-23	09:47:22	nan	nan	101.973	22.9566	101.977	32.0287	0	0	22.9489	-16000	0	24.1553	239
DATA	1753278442	608300924	0	256	""	2025-07-23	09:47:22	nan	nan	101.972	22.9567	101.977	40.3079	0	0	22.9494	-16000	0	24.1583	239
DATA	1753278442	608300924	0	256	""	2025-07-23	09:47:22	nan	nan	101.972	22.9573	101.977	46.1112	0	0	22.9501	-16000	0	24.1608	215
DATA	1753278443	608254909	0	256	""	2025-07-23	09:47:23	nan	nan	101.393	22.9566	101.398	24.3419	0	0	22.9483	0	0	24.19	152
DATA	1753278444	608215093	0	256	""	2025-07-23	09:47:24	nan	nan	101.627	22.9566	101.631	24.4	0	0	22.9483	-6400	0	24.1802	 18
DATA	1753278445	608175039	0	256	""	2025-07-23	09:47:25	nan	nan	101.972	22.9573	101.976	47.6085	0	0	22.9508	-16000	0	24.165	198
DATA	1753278445	608175039	0	256	""	2025-07-23	09:47:25	nan	nan	101.972	22.9573	101.977	47.7915	0	0	22.9515	-16000	0	24.1664	253
DATA	1753278445	608175039	0	256	""	2025-07-23	09:47:25	nan	nan	101.972	22.9573	101.977	47.8562	0	0	22.9522	-16000	0	24.1678	255
DATA	1753278448	608053922	0	256	""	2025-07-23	09:47:28	nan	nan	101.973	22.9573	101.977	47.8835	0	0	22.9529	-16000	0	24.168	213
DATA	1753278448	608053922	0	256	""	2025-07-23	09:47:28	nan	nan	101.972	22.9573	101.976	47.8957	0	0	22.9534	-16000	0	24.168	212
DATA	1753278448	608053922	0	256	""	2025-07-23	09:47:28	nan	nan	101.973	22.9573	101.978	47.902	0	0	22.9539	-16000	0	24.168	154
DATA	1753278451	607937097	0	256	""	2025-07-23	09:47:31	nan	nan	101.973	22.9573	101.977	47.9059	0	0	22.9545	-16000	0	24.168	211
DATA	1753278451	607937097	0	256	""	2025-07-23	09:47:31	nan	nan	101.973	22.9577	101.978	47.9084	0	0	22.9552	-16000	0	24.168	212
DATA	1753278451	607937097	0	256	""	2025-07-23	09:47:31	nan	nan	101.973	22.958	101.977	47.9103	0	0	22.9556	-16000	0	24.168	153
DATA	1753278454	607815980	0	256	""	2025-07-23	09:47:34	nan	nan	101.973	22.958	101.978	47.9114	0	0	22.9559	-16000	0	24.168	161
DATA	1753278454	607815980	0	256	""	2025-07-23	09:47:34	nan	nan	101.974	22.958	101.977	47.9124	0	0	22.9566	-16000	0	24.168	160
DATA	1753278454	607815980	0	256	""	2025-07-23	09:47:34	nan	nan	101.974	22.958	101.978	47.9134	0	0	22.9568	-16000	0	24.168	164
DATA	1753278457	607695102	0	256	""	2025-07-23	09:47:37	nan	nan	101.973	22.958	101.977	47.914	0	0	22.9573	-16000	0	24.168	105
DATA	1753278457	607695102	0	256	""	2025-07-23	09:47:37	nan	nan	101.974	22.958	101.978	47.9148	0	0	22.9577	-16000	0	24.168	167
DATA	1753278457	607695102	0	256	""	2025-07-23	09:47:37	nan	nan	101.974	22.958	101.977	47.9153	0	0	22.958	-16000	0	24.1642	154
DATA	1753278460	607574939	0	256	""	2025-07-23	09:47:40	nan	nan	101.974	22.958	101.977	47.9157	0	0	22.9586	-16000	0	24.163	163
DATA	1753278460	607574939	0	256	""	2025-07-23	09:47:40	nan	nan	101.974	22.958	101.978	47.9162	0	0	22.9587	-16000	0	24.163	161
DATA	1753278460	607574939	0	256	""	2025-07-23	09:47:40	nan	nan	101.974	22.958	101.977	47.9168	0	0	22.9589	-16000	0	24.1628	223
DATA	1753278463	607464075	0	256	""	2025-07-23	09:47:43	nan	nan	101.974	22.958	101.978	47.917	0	0	22.9594	-16000	0	24.1696	165
